league_id,league_name,league_level,country,clubs
13,Premier League,1,England,20
53,La Liga,1,Spain,20
31,Serie A,1,Italy,20
19,Bundesliga,1,Germany,18
7,Série A,1,Brazil,14
63,Super League,1,Greece,4
16,Ligue 1,1,France,18
319,První liga,1,Czechia,3
64,Nemzeti Bajnokság I,1,Hungary,1
332,Premier League,1,Ukraine,2
68,Süper Lig,1,Türkiye,18
308,Primeira Liga,1,Portugal,18
14,Championship,2,England,24
317,Hrvatska nogometna liga,1,Croatia,2
313,Premyer Liqa,1,Azerbaijan,1
353,Liga Profesional de Fútbol,1,Argentina,30
336,Categoría Primera A,1,Colombia,4
2020,Liga 1,1,Peru,6
10,Eredivisie,1,Netherlands,18
2018,Serie A,1,Ecuador,5
338,Primera División,1,Uruguay,5
54,La Liga 2,2,Spain,22
32,Serie B,2,Italy,20
4,Pro League,1,Belgium,16
20,2. Bundesliga,2,Germany,18
335,Primera Division,1,Chile,6
318,1. Division,1,Cyprus,1
39,Major League Soccer,1,United States,30
337,División Profesional,1,Paraguay,5
1,Superliga,1,Denmark,12
66,Ekstraklasa,1,Poland,18
50,Premiership,1,Scotland,12
80,Bundesliga,1,Austria,12
189,Super League,1,Switzerland,12
2019,Primera Division,1,Venezuela,4
56,Allsvenskan,1,Sweden,16
2013,Pro League,1,United Arab Emirates,1
17,Ligue 2,2,France,18
41,Eliteserien,1,Norway,16
330,Liga I,1,Romania,16
350,Pro League,1,Saudi Arabia,18
2017,División de Fútbol Profesional,1,Bolivia,4
60,League One,3,England,24
2076,3. Liga,3,Germany,20
322,Veikkausliiga,1,Finland,1
83,K League 1,1,Korea Republic,12
351,A-League Men,1,Australia,13
61,League Two,4,England,24
2012,Super League,1,China PR,16
65,Premier Division,1,Republic of Ireland,10
2149,Super League,1,India,14